meeting_id,speaker,da_id,da_type,da_type_id,start_time,end_time,duration_ms,text
ES2003b,B,ES2003b.B.dialog-act.vkaraisk.89,comment-about-understanding,ami_da_12,1022.73,1023.88,1150.0,yeah ?
ES2003b,B,ES2003b.B.dialog-act.vkaraisk.157,comment-about-understanding,ami_da_12,1470.52,1471.91,1390.0,"I can understand your point ,"
ES2003b,B,ES2003b.B.dialog-act.vkaraisk.222,comment-about-understanding,ami_da_12,1727.62,1730.81,3190.0,"Vol Volume selection okay , yep ,"
ES2003b,B,ES2003b.B.dialog-act.vkaraisk.246,comment-about-understanding,ami_da_12,1849.22,1849.49,270.0,Sorry ?
ES2003b,C,ES2003b.C.dialog-act.vkaraisk.3,comment-about-understanding,ami_da_12,17.17,17.52,350.0,yeah .
ES2003b,C,ES2003b.C.dialog-act.vkaraisk.143,comment-about-understanding,ami_da_12,515.23,515.56,330.0,I'm sorry ?
ES2003b,C,ES2003b.C.dialog-act.vkaraisk.173,elicit-comment-understanding,ami_da_13,1260.75,1261.56,810.0,"you know what I'm saying ,"
ES2003b,C,ES2003b.C.dialog-act.vkaraisk.175,comment-about-understanding,ami_da_12,1276.64,1277.41,770.0,"Most people , yeah ."
ES2003b,C,ES2003b.C.dialog-act.vkaraisk.184,comment-about-understanding,ami_da_12,1503.49,1506.7,3210.0,"Hmm . Okay , specifically television ."
ES2003b,C,ES2003b.C.dialog-act.vkaraisk.186,comment-about-understanding,ami_da_12,1517.33,1517.58,250.0,Okay .
ES2003b,C,ES2003b.C.dialog-act.vkaraisk.214,comment-about-understanding,ami_da_12,1734.07,1734.67,600.0,okay okay .
ES2003b,D,ES2003b.D.dialog-act.vkaraisk.3,comment-about-understanding,ami_da_12,542.72,543.11,390.0,Oh .
ES2003b,D,ES2003b.D.dialog-act.vkaraisk.4,comment-about-understanding,ami_da_12,545.28,545.76,480.0,"Ah , okay ."
ES2003b,D,ES2003b.D.dialog-act.vkaraisk.78,comment-about-understanding,ami_da_12,1707.32,1707.45,130.0,Yep .
ES2003c,A,ES2003c.A.dialog-act.vkaraisk.54,comment-about-understanding,ami_da_12,898.02,898.38,360.0,Okay .
ES2003c,B,ES2003c.B.dialog-act.vkaraisk.27,comment-about-understanding,ami_da_12,123.78,124.89,1110.0,That's you .
ES2003c,B,ES2003c.B.dialog-act.vkaraisk.30,comment-about-understanding,ami_da_12,129.12,129.84,720.0,Components design .
ES2003c,B,ES2003c.B.dialog-act.vkaraisk.51,comment-about-understanding,ami_da_12,359.17,360.68,1510.0,okay .
ES2003c,B,ES2003c.B.dialog-act.vkaraisk.52,comment-about-understanding,ami_da_12,367.37,367.92,550.0,Alright .
ES2003c,B,ES2003c.B.dialog-act.vkaraisk.89,comment-about-understanding,ami_da_12,669.34,669.74,400.0,"Okay ,"
ES2003c,B,ES2003c.B.dialog-act.vkaraisk.97,comment-about-understanding,ami_da_12,680.84,683.5,2660.0,Yeah . Okay .
ES2003c,C,ES2003c.C.dialog-act.vkaraisk.12,comment-about-understanding,ami_da_12,501.64,502.46,820.0,"Okay , sure ."
ES2003c,C,ES2003c.C.dialog-act.vkaraisk.16,comment-about-understanding,ami_da_12,527.8,528.04,240.0,"Okay ,"
ES2003c,C,ES2003c.C.dialog-act.vkaraisk.22,comment-about-understanding,ami_da_12,979.07,979.41,340.0,Okay .
ES2003c,C,ES2003c.C.dialog-act.vkaraisk.66,comment-about-understanding,ami_da_12,1223.32,1225.66,2340.0,"Okay . Okay ,"
ES2003c,C,ES2003c.C.dialog-act.vkaraisk.142,comment-about-understanding,ami_da_12,1464.34,1464.54,200.0,Yeah .
ES2003c,C,ES2003c.C.dialog-act.vkaraisk.168,comment-about-understanding,ami_da_12,1693.61,1693.89,280.0,Okay .
ES2003c,C,ES2003c.C.dialog-act.vkaraisk.184,comment-about-understanding,ami_da_12,1944.18,1945.72,1540.0,"Oh , that's the okay , sure sure sure ."
ES2003c,C,ES2003c.C.dialog-act.vkaraisk.186,comment-about-understanding,ami_da_12,1964.22,1964.86,640.0,"Okay , sure ."
ES2003c,D,ES2003c.D.dialog-act.vkaraisk.106,comment-about-understanding,ami_da_12,784.06,785.34,1280.0,"Ah , okay ."
ES2003c,D,ES2003c.D.dialog-act.vkaraisk.122,comment-about-understanding,ami_da_12,2047.62,2048.64,1020.0,"Oh right , okay ."
ES2003c,D,ES2003c.D.dialog-act.vkaraisk.125,comment-about-understanding,ami_da_12,2065.65,2066.49,840.0,"Okay , yeah ."
ES2003d,A,ES2003d.A.dialog-act.vkaraisk.87,comment-about-understanding,ami_da_12,1225.61,1226.25,640.0,Alright .
ES2003d,B,ES2003d.B.dialog-act.vkaraisk.54,comment-about-understanding,ami_da_12,588.67,589.13,460.0,Okay .
ES2003d,B,ES2003d.B.dialog-act.vkaraisk.169,comment-about-understanding,ami_da_12,1236.78,1237.03,250.0,"Okay ,"
ES2003d,B,ES2003d.B.dialog-act.vkaraisk.209,comment-about-understanding,ami_da_12,1363.51,1363.71,200.0,Ten .
ES2003d,C,ES2003d.C.dialog-act.vkaraisk.38,comment-about-understanding,ami_da_12,439.6,439.97,370.0,Sure .
ES2003d,C,ES2003d.C.dialog-act.vkaraisk.44,comment-about-understanding,ami_da_12,459.76,461.37,1610.0,Mm . Bright colour .
ES2003d,C,ES2003d.C.dialog-act.vkaraisk.50,comment-about-understanding,ami_da_12,473.16,474.28,1120.0,Number one ?
ES2003d,C,ES2003d.C.dialog-act.vkaraisk.51,comment-about-understanding,ami_da_12,474.28,474.78,500.0,Okay .
ES2003d,C,ES2003d.C.dialog-act.vkaraisk.61,comment-about-understanding,ami_da_12,546.9,548.608,1708.0,What do you mean cr is there anything I wanna
ES2003d,C,ES2003d.C.dialog-act.vkaraisk.100,comment-about-understanding,ami_da_12,943.23,943.95,720.0,Okay .
ES2003d,C,ES2003d.C.dialog-act.vkaraisk.121,elicit-comment-understanding,ami_da_13,1050.18,1050.52,340.0,you know .
ES2003d,C,ES2003d.C.dialog-act.vkaraisk.130,comment-about-understanding,ami_da_12,1135.51,1135.72,210.0,Oh
ES2003d,C,ES2003d.C.dialog-act.vkaraisk.133,comment-about-understanding,ami_da_12,1169.56,1171.32,1760.0,Okay . Sure .
ES2003d,C,ES2003d.C.dialog-act.vkaraisk.145,comment-about-understanding,ami_da_12,1221.92,1223.4,1480.0,You got a email about voice response ?
ES2003d,C,ES2003d.C.dialog-act.vkaraisk.148,comment-about-understanding,ami_da_12,1239.06,1241.18,2120.0,"We won't go with that one , did you say ?"
ES2003d,C,ES2003d.C.dialog-act.vkaraisk.150,comment-about-understanding,ami_da_12,1243.22,1244.57,1350.0,"Okay , okay ."
ES2003d,C,ES2003d.C.dialog-act.vkaraisk.153,comment-about-understanding,ami_da_12,1259.888,1264.29,4402.0,Okay . Okay .
ES2003d,C,ES2003d.C.dialog-act.vkaraisk.154,comment-about-understanding,ami_da_12,1295.66,1297.34,1680.0,"Oh , special colour for the case ."
ES2003d,C,ES2003d.C.dialog-act.vkaraisk.168,comment-about-understanding,ami_da_12,1371.63,1372.34,710.0,Special colour .
ES2003d,C,ES2003d.C.dialog-act.vkaraisk.169,comment-about-understanding,ami_da_12,1373.7,1376.33,2630.0,Uh uh four .
ES2003d,C,ES2003d.C.dialog-act.vkaraisk.219,comment-about-understanding,ami_da_12,1486.49,1487.05,560.0,Three .
ES2003d,C,ES2003d.C.dialog-act.vkaraisk.234,comment-about-understanding,ami_da_12,1534.448,1539.9,5452.0,"I know ,"
ES2003d,C,ES2003d.C.dialog-act.vkaraisk.249,comment-about-understanding,ami_da_12,1610.07,1611.14,1070.0,Four ?
ES2003d,C,ES2003d.C.dialog-act.vkaraisk.268,comment-about-understanding,ami_da_12,1679.12,1679.53,410.0,Five .
ES2003d,C,ES2003d.C.dialog-act.vkaraisk.302,elicit-comment-understanding,ami_da_13,1868.36,1868.97,610.0,you know .
ES2003d,C,ES2003d.C.dialog-act.vkaraisk.306,elicit-comment-understanding,ami_da_13,1882.58,1883.54,960.0,you know .
ES2003d,D,ES2003d.D.dialog-act.vkaraisk.25,comment-about-understanding,ami_da_12,969.84,970.61,770.0,"Oh , and joystick ,"
ES2004a,A,ES2004a.A.dialog-act.s9553330.70,comment-about-understanding,ami_da_12,1005.79,1006.25,460.0,Okay .
ES2004a,B,ES2004a.B.dialog-act.s9553330.22,comment-about-understanding,ami_da_12,114.5,115.89,1390.0,as far as I can understand .
ES2004a,B,ES2004a.B.dialog-act.s9553330.177,comment-about-understanding,ami_da_12,1005.86,1006.44,580.0,Okay .
ES2004a,B,ES2004a.B.dialog-act.s9553330.188,elicit-comment-understanding,ami_da_13,1042.4,1043.13,730.0,Okay ?
ES2004a,D,ES2004a.D.dialog-act.s9553330.9,comment-about-understanding,ami_da_12,315.85,316.3,450.0,Sorry ?
ES2004a,D,ES2004a.D.dialog-act.s9553330.55,comment-about-understanding,ami_da_12,526.24,527.94,1700.0,"Oh . Oh right , okay ,"
ES2004a,D,ES2004a.D.dialog-act.s9553330.83,comment-about-understanding,ami_da_12,651.11,651.49,380.0,Okay .
ES2004a,D,ES2004a.D.dialog-act.s9553330.142,comment-about-understanding,ami_da_12,1005.06,1005.74,680.0,Ah right .
ES2004b,A,ES2004b.A.dialog-act.s9553330.131,comment-about-understanding,ami_da_12,2090.25,2090.98,730.0,A sea shell ?
ES2004b,B,ES2004b.B.dialog-act.s9553330.217,comment-about-understanding,ami_da_12,2005.98,2006.53,550.0,Okay .
ES2004b,C,ES2004b.C.dialog-act.s9553330.103,comment-about-understanding,ami_da_12,1176.6,1177.63,1030.0,"Alright , okay ."
ES2004b,D,ES2004b.D.dialog-act.s9553330.16,comment-about-understanding,ami_da_12,341.57,342.56,990.0,Oh I see .
ES2004b,D,ES2004b.D.dialog-act.s9553330.179,comment-about-understanding,ami_da_12,1793.81,1794.4,590.0,Right .
ES2004b,D,ES2004b.D.dialog-act.s9553330.252,comment-about-understanding,ami_da_12,2217.38,2218.07,690.0,Right .
ES2004c,A,ES2004c.A.dialog-act.dharshi.54,comment-about-understanding,ami_da_12,1250.61,1253.104,2494.0,"Sorry I didn't get the last part , you're talking of"
ES2004c,C,ES2004c.C.dialog-act.dharshi.206,comment-about-understanding,ami_da_12,1254.32,1255.584,1264.0,Uh what what
ES2004c,C,ES2004c.C.dialog-act.dharshi.229,comment-about-understanding,ami_da_12,1353.08,1353.52,440.0,Hmm .
ES2004c,C,ES2004c.C.dialog-act.dharshi.295,comment-about-understanding,ami_da_12,1980.19,1981.14,950.0,"Plastic ,"
ES2004c,D,ES2004c.D.dialog-act.dharshi.41,elicit-comment-understanding,ami_da_13,365.43,367.42,1990.0,Unless anyone has any questions about that ?
ES2004c,D,ES2004c.D.dialog-act.dharshi.162,comment-about-understanding,ami_da_12,1959.77,1961.7,1930.0,Sorry could you repeat that last part ?
ES2004d,A,ES2004d.A.dialog-act.vkaraisk.31,comment-about-understanding,ami_da_12,271.77,272.07,300.0,'Kay .
ES2004d,A,ES2004d.A.dialog-act.vkaraisk.51,comment-about-understanding,ami_da_12,550.79,551.82,1030.0,"Ah , it's perfect ."
ES2004d,A,ES2004d.A.dialog-act.vkaraisk.53,comment-about-understanding,ami_da_12,556.03,556.21,180.0,okay .
ES2004d,A,ES2004d.A.dialog-act.vkaraisk.76,comment-about-understanding,ami_da_12,730.54,730.85,310.0,okay .
ES2004d,A,ES2004d.A.dialog-act.vkaraisk.100,comment-about-understanding,ami_da_12,1183.43,1183.92,490.0,Okay .
ES2004d,B,ES2004d.B.dialog-act.vkaraisk.36,comment-about-understanding,ami_da_12,214.93,216.01,1080.0,"Oh right , okay , yeah ."
ES2004d,B,ES2004d.B.dialog-act.vkaraisk.39,comment-about-understanding,ami_da_12,238.43,238.77,340.0,okay .
ES2004d,B,ES2004d.B.dialog-act.vkaraisk.40,comment-about-understanding,ami_da_12,271.08,272.37,1290.0,Okay .
ES2004d,B,ES2004d.B.dialog-act.vkaraisk.45,comment-about-understanding,ami_da_12,332.1,332.89,790.0,Okay .
ES2004d,B,ES2004d.B.dialog-act.vkaraisk.48,comment-about-understanding,ami_da_12,336.62,338.4,1780.0,"Oh right , yeah , okay , yeah , I've got you ."
ES2004d,B,ES2004d.B.dialog-act.vkaraisk.49,comment-about-understanding,ami_da_12,340.88,341.52,640.0,yes .
ES2004d,B,ES2004d.B.dialog-act.vkaraisk.66,comment-about-understanding,ami_da_12,561.86,562.21,350.0,Okay .
ES2004d,B,ES2004d.B.dialog-act.vkaraisk.71,comment-about-understanding,ami_da_12,639.49,639.79,300.0,Okay .
ES2004d,B,ES2004d.B.dialog-act.vkaraisk.117,comment-about-understanding,ami_da_12,1136.15,1137.15,1000.0,Okay .
ES2004d,B,ES2004d.B.dialog-act.vkaraisk.123,comment-about-understanding,ami_da_12,1169.94,1170.67,730.0,"Oh , right ,"
ES2004d,B,ES2004d.B.dialog-act.vkaraisk.128,comment-about-understanding,ami_da_12,1183.81,1184.37,560.0,Okay .
ES2004d,B,ES2004d.B.dialog-act.vkaraisk.155,comment-about-understanding,ami_da_12,1296.48,1297.35,870.0,"yeah , okay ."
ES2004d,B,ES2004d.B.dialog-act.vkaraisk.173,comment-about-understanding,ami_da_12,1468.64,1469.56,920.0,"Right , okay ."
ES2004d,B,ES2004d.B.dialog-act.vkaraisk.177,comment-about-understanding,ami_da_12,1480.23,1480.79,560.0,"Oh , right ."
ES2004d,B,ES2004d.B.dialog-act.vkaraisk.213,comment-about-understanding,ami_da_12,1636.8,1637.26,460.0,Okay .
ES2004d,B,ES2004d.B.dialog-act.vkaraisk.214,comment-about-understanding,ami_da_12,1644.706,1645.48,774.0,Okay .
ES2004d,C,ES2004d.C.dialog-act.vkaraisk.2,comment-about-understanding,ami_da_12,94.1,94.48,380.0,Okay .
ES2004d,C,ES2004d.C.dialog-act.vkaraisk.26,elicit-comment-understanding,ami_da_13,216.17,217.71,1540.0,yeah .
ES2004d,C,ES2004d.C.dialog-act.vkaraisk.38,comment-about-understanding,ami_da_12,265.56,267.23,1670.0,yeah .
ES2004d,C,ES2004d.C.dialog-act.vkaraisk.229,comment-about-understanding,ami_da_12,1624.27,1625.13,860.0,Ah .
ES2004d,C,ES2004d.C.dialog-act.vkaraisk.289,comment-about-understanding,ami_da_12,1984.68,1985.01,330.0,Yeah .
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.35,elicit-comment-understanding,ami_da_13,548.94,549.82,880.0,Does that seem clear ?
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.36,elicit-comment-understanding,ami_da_13,549.82,550.81,990.0,Any questions there ?
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.69,comment-about-understanding,ami_da_12,644.98,645.49,510.0,Two .
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.70,comment-about-understanding,ami_da_12,646.79,647.44,650.0,Okay .
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.71,comment-about-understanding,ami_da_12,650.27,650.7,430.0,Two .
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.72,comment-about-understanding,ami_da_12,654.1,656.09,1990.0,"A four , okay ."
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.76,comment-about-understanding,ami_da_12,669.39,674.63,5240.0,"Okay . Two point seven five , there we go ."
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.80,comment-about-understanding,ami_da_12,687.77,688.95,1180.0,Okay .
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.84,comment-about-understanding,ami_da_12,706.01,711.82,5810.0,"oh , for you ? You want your rating to be a two ? Is that what you're saying ?"
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.87,comment-about-understanding,ami_da_12,711.82,712.05,230.0,Okay .
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.94,comment-about-understanding,ami_da_12,723.03,724.2,1170.0,"Two point five , okay ."
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.98,comment-about-understanding,ami_da_12,733.13,734.05,920.0,"Two , okay ."
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.107,comment-about-understanding,ami_da_12,753.92,754.53,610.0,Two .
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.108,comment-about-understanding,ami_da_12,760.23,761.13,900.0,"A two , okay ."
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.109,comment-about-understanding,ami_da_12,764.14,764.55,410.0,Two .
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.122,comment-about-understanding,ami_da_12,823.12,824.05,930.0,Okay .
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.124,comment-about-understanding,ami_da_12,832.09,832.68,590.0,Okay .
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.126,comment-about-understanding,ami_da_12,839.38,840.46,1080.0,Yep .
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.128,comment-about-understanding,ami_da_12,840.98,841.39,410.0,Okay .
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.147,comment-about-understanding,ami_da_12,908.14,909.58,1440.0,"A five , okay ."
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.148,comment-about-understanding,ami_da_12,911.94,912.47,530.0,Four
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.149,comment-about-understanding,ami_da_12,912.47,915.03,2560.0,and a four okay .
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.158,comment-about-understanding,ami_da_12,938.89,940.33,1440.0,yep .
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.163,comment-about-understanding,ami_da_12,961.68,963.24,1560.0,Right . Okay .
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.165,comment-about-understanding,ami_da_12,967.33,967.76,430.0,Okay .
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.168,comment-about-understanding,ami_da_12,972.8,974.39,1590.0,One
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.169,comment-about-understanding,ami_da_12,974.39,975.05,660.0,"and one ,"
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.182,comment-about-understanding,ami_da_12,1040.36,1041.99,1630.0,I know .
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.184,elicit-comment-understanding,ami_da_13,1042.91,1045.0,2090.0,I hope that's uh clear to the team .
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.200,comment-about-understanding,ami_da_12,1259.48,1260.93,1450.0,"Right , okay ."
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.224,comment-about-understanding,ami_da_12,1400.02,1400.28,260.0,Oh .
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.254,comment-about-understanding,ami_da_12,1586.28,1587.47,1190.0,Right .
ES2004d,D,ES2004d.D.dialog-act.vkaraisk.330,comment-about-understanding,ami_da_12,2210.77,2210.89,120.0,"Oh ,"
ES2005a,A,ES2005a.A.dialog-act.vkaraisk.1,comment-about-understanding,ami_da_12,0.75,0.95,200.0,Alright
ES2005a,B,ES2005a.B.dialog-act.vkaraisk.17,comment-about-understanding,ami_da_12,186.61,187.33,720.0,Yeah .
ES2005a,D,ES2005a.D.dialog-act.vkaraisk.39,comment-about-understanding,ami_da_12,219.73,220.84,1110.0,Yep . Okay .
ES2005a,D,ES2005a.D.dialog-act.vkaraisk.45,comment-about-understanding,ami_da_12,289.91,290.62,710.0,"Okay , cool ."
ES2005b,A,ES2005b.A.dialog-act.dharshi.23,comment-about-understanding,ami_da_12,885.28,886.05,770.0,Or function F_ eight ?
ES2005b,B,ES2005b.B.dialog-act.dharshi.9,comment-about-understanding,ami_da_12,98.58,99.31,730.0,F_ eight .
